Speciality_Group,HCP_ID,Decile,Emails_Jan18,Emails_Feb18,Emails_Mar18,Emails_Apr18,Emails_May18,Emails_Jun18,Emails_Jul18,Emails_Aug18,Emails_Sep18,Emails_Oct18,Emails_Nov18,Emails_Dec18,Emails_Jan19,Emails_Feb19,Emails_Mar19,Emails_Apr19,Calls_Jan18,Calls_Feb18,Calls_Mar18,Calls_Apr18,Calls_May18,Calls_Jun18,Calls_Jul18,Calls_Aug18,Calls_Sep18,Calls_Oct18,Calls_Nov18,Calls_Dec18,Calls_Jan19,Calls_Feb19,Calls_Mar19,Calls_Apr19,Segment,Brand_Sales_Jan18,Brand_Sales_Feb18,Brand_Sales_Mar18,Brand_Sales_Apr18,Brand_Sales_May18,Brand_Sales_Jun18,Brand_Sales_Jul18,Brand_Sales_Aug18,Brand_Sales_Sep18,Brand_Sales_Oct18,Brand_Sales_Nov18,Brand_Sales_Dec18,Brand_Sales_Jan19,Brand_Sales_Feb19,Brand_Sales_Mar19,Brand_Sales_Apr19,Final_formulary_status,Final_criteria_status,Speaker_Program_Jan18,Speaker_Program_Feb18,Speaker_Program_Mar18,Speaker_Program_Apr18,Speaker_Program_May18,Speaker_Program_Jun18,Speaker_Program_Jul18,Speaker_Program_Aug18,Speaker_Program_Sep18,Speaker_Program_Oct18,Speaker_Program_Nov18,Speaker_Program_Dec18,Speaker_Program_Jan19,Speaker_Program_Feb19,Speaker_Program_Mar19,Speaker_Program_Apr19,Mobile_Alerts_Jan18,Mobile_Alerts_Feb18,Mobile_Alerts_Mar18,Mobile_Alerts_Apr18,Mobile_Alerts_May18,Mobile_Alerts_Jun18,Mobile_Alerts_Jul18,Mobile_Alerts_Aug18,Mobile_Alerts_Sep18,Mobile_Alerts_Oct18,Mobile_Alerts_Nov18,Mobile_Alerts_Dec18,Mobile_Alerts_Jan19,Mobile_Alerts_Feb19,Mobile_Alerts_Mar19,Mobile_Alerts_Apr19,Competitor_Detailing_Jan18,Competitor_Detailing_Feb18,Competitor_Detailing_Mar18,Competitor_Detailing_Apr18,Competitor_Detailing_May18,Competitor_Detailing_Jun18,Competitor_Detailing_Jul18,Competitor_Detailing_Aug18,Competitor_Detailing_Sep18,Competitor_Detailing_Oct18,Competitor_Detailing_Nov18,Competitor_Detailing_Dec18,Competitor_Detailing_Jan19,Competitor_Detailing_Feb19,Competitor_Detailing_Mar19,Competitor_Detailing_Apr19,TC
NON-PCP,848,H,3,9,8,5,12,10,5,4,11,13,3,7,0,11,11,4,4,2,0,3,0,2,3,1,2,2,2,2,1,0,3,0,Field,91,51,89,70,90,120,37,72,110,97,55,106,81,110,50,83,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,12,8,16,3,9,17,18,1,17,9,16,15,10,0,2,3,1,3,0,2,3,2,3,0,1,3,0,2,1,C
PCP,339,H,11,6,11,6,2,5,4,6,8,1,11,5,1,2,2,0,4,0,3,0,3,4,3,3,2,0,3,1,0,3,4,1,Field,48,61,41,75,98,64,61,48,96,42,115,82,56,105,47,107,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,1,8,17,3,4,16,6,4,14,16,3,4,3,0,1,0,1,2,0,0,2,3,1,0,0,1,2,1,3,C
Other-Speciality,3879,M,4,4,3,6,3,4,1,0,3,2,0,3,2,5,7,6,4,4,4,4,0,3,0,3,2,2,0,1,4,2,0,0,Field,14,49,52,36,20,53,26,40,55,11,40,49,55,32,34,47,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,9,3,7,14,12,14,9,17,16,5,17,9,3,9,3,2,1,1,2,2,0,1,2,0,2,0,1,3,3,1,C
PCP,294,H,6,7,11,6,4,2,4,4,6,10,9,1,5,12,8,3,4,1,2,3,2,3,2,2,2,2,3,2,0,1,3,4,Field,67,50,106,36,59,91,99,32,89,96,35,36,78,84,60,119,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,9,17,11,9,15,17,0,2,8,16,3,8,9,10,2,0,3,2,1,3,1,2,1,1,3,1,2,3,0,0,C
Other-Speciality,3964,M,3,0,5,2,2,4,1,3,1,1,3,3,7,2,8,1,4,3,0,2,4,4,4,3,2,3,0,3,2,4,1,3,Field,42,55,20,19,33,46,58,12,45,28,35,55,36,43,23,50,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,4,7,15,11,13,15,10,14,9,4,16,11,3,3,1,0,1,3,1,2,1,1,1,0,2,3,1,3,C
REMS,1793,M,4,7,3,7,0,7,7,4,2,4,7,1,7,2,4,7,4,1,4,4,3,2,1,0,2,4,3,4,1,2,3,2,Field,13,13,17,57,52,46,51,41,28,23,11,32,22,51,36,15,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,12,3,1,3,11,4,17,12,8,17,12,0,13,2,3,3,3,0,3,0,3,1,3,2,1,2,3,2,3,0,C
Other-Speciality,2983,M,6,2,3,7,8,5,4,0,8,6,3,8,7,1,2,6,4,1,0,3,1,2,4,4,2,1,2,4,4,3,2,4,Field,53,54,59,43,55,12,59,42,39,52,25,22,56,25,34,27,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,11,16,16,2,6,16,18,16,11,3,11,12,9,0,0,0,3,2,2,1,0,2,0,1,1,0,0,3,0,C
NON-PCP,891,H,2,4,13,2,5,9,14,11,12,3,14,9,11,13,2,7,4,4,4,4,2,4,0,3,2,1,1,0,1,1,1,3,Field,105,49,32,79,62,51,112,56,102,120,55,76,55,73,96,78,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,18,8,3,5,1,16,2,18,17,0,0,9,14,0,2,2,0,2,3,3,3,0,1,2,0,0,1,2,1,3,C
NON-PCP,1354135,L,0,3,4,1,4,3,3,3,0,0,2,3,0,3,4,2,0,2,0,1,2,2,1,0,2,0,2,0,2,1,1,2,Not_Covered,11,14,12,14,3,19,6,19,16,14,9,12,11,17,3,11,Other,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,6,10,14,4,17,3,3,10,9,17,15,3,15,11,3,3,3,2,3,0,2,3,1,1,2,2,3,0,2,1,C
PCP,106200,L,1,0,2,2,0,4,2,3,3,0,0,1,0,3,4,4,0,0,1,0,2,0,1,2,2,0,2,1,0,1,0,2,Not_Covered,7,17,16,1,6,11,26,23,28,28,23,27,25,24,28,22,On_Formulary,No_Restrictions,1,1,3,3,2,2,1,2,3,3,2,0,2,2,2,0,0,2,11,8,18,9,9,16,12,15,0,1,10,16,18,1,3,1,0,1,2,0,0,1,2,2,2,2,1,3,2,0,T
REMS,2322368,L,1,3,4,3,2,3,1,1,0,1,4,4,1,0,2,2,0,2,2,2,2,0,2,0,2,1,2,2,2,0,0,1,Not_Covered,17,14,1,19,9,15,0,9,20,1,16,18,18,6,20,14,Other,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,13,2,14,7,2,6,13,3,12,0,5,2,8,1,2,3,1,1,1,0,3,2,1,2,3,1,3,0,2,C
PCP,317,H,5,13,0,3,0,4,5,8,3,11,14,12,1,12,14,0,0,3,0,2,2,2,4,2,2,4,2,4,0,4,0,4,Not_Covered,112,43,79,35,50,64,119,70,108,84,110,116,74,38,116,49,Not_On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,15,4,16,8,3,7,17,3,0,10,17,12,1,13,1,2,3,3,1,1,1,3,0,3,1,0,1,2,0,2,C
NON-PCP,1239135,L,3,2,4,2,4,2,4,1,3,3,2,1,1,0,4,3,0,0,1,0,1,1,2,1,2,1,2,0,2,2,0,1,Not_Covered,10,17,19,11,20,9,6,18,1,7,17,1,5,0,3,16,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,4,2,9,5,10,14,12,12,5,9,17,16,10,6,3,1,2,2,1,2,3,1,0,0,1,1,1,2,3,0,C
PCP,31188546,L,3,4,3,0,1,1,2,0,3,4,4,1,1,3,1,3,0,0,2,1,0,0,1,1,2,0,0,0,1,0,2,0,Not_Covered,11,19,17,15,17,0,3,1,15,12,10,8,5,13,11,2,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,2,0,11,4,5,15,3,4,0,4,13,6,11,18,2,0,2,2,0,3,0,1,1,0,1,3,2,3,1,1,C
REMS,2706155,L,3,1,2,2,1,2,4,0,0,0,4,4,3,3,2,2,0,0,1,1,0,0,2,2,2,1,0,2,0,2,1,1,Not_Covered,10,16,12,15,20,5,6,4,8,5,16,8,17,10,6,18,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,6,13,1,18,15,15,14,18,4,4,13,18,14,11,0,0,2,1,1,1,1,2,0,1,2,2,1,3,0,1,C
PCP,430,H,4,3,10,0,11,6,4,11,0,5,4,10,4,12,11,1,0,3,4,2,2,4,3,1,2,1,3,1,3,1,2,0,Not_Covered,91,72,62,59,100,59,119,53,58,87,111,90,120,91,107,113,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,11,3,17,12,8,7,16,4,5,0,6,16,1,3,0,0,3,0,1,1,3,3,0,1,0,3,2,2,C
Other-Speciality,6071,L,3,3,3,0,0,2,4,2,0,3,3,3,4,2,4,0,0,1,2,2,0,0,1,0,2,2,0,1,0,1,1,2,Not_Covered,20,2,19,0,11,20,20,9,6,11,5,14,9,19,6,9,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,14,15,18,1,14,6,16,18,10,10,0,13,1,1,0,2,0,2,3,1,3,0,3,2,2,0,3,2,2,0,C
Other-Speciality,6710,L,4,2,2,2,1,1,1,4,2,0,1,4,4,1,0,0,0,0,1,1,2,2,2,2,2,0,2,0,1,0,0,0,Not_Covered,20,11,17,4,8,12,6,9,8,10,1,2,12,16,8,11,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,5,0,14,10,14,1,14,11,5,3,2,0,8,1,1,0,2,2,3,1,3,3,2,2,3,1,3,0,0,C
PCP,121305,L,0,0,2,1,0,0,1,2,2,1,4,0,4,0,0,1,0,2,1,0,0,0,1,1,2,2,0,1,0,2,1,2,Not_Covered,0,9,4,7,18,5,1,19,15,3,7,2,9,18,0,4,On_Formulary,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,9,9,4,9,12,3,12,16,1,15,11,3,5,13,1,0,1,1,0,2,1,1,1,2,0,1,0,3,2,1,C
Other-Speciality,6191,L,0,1,2,0,3,1,4,0,4,4,1,0,4,1,2,3,0,0,2,1,2,1,1,1,2,1,2,2,1,2,1,1,Not_Covered,2,13,8,2,7,6,8,2,0,19,2,2,14,0,20,11,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,8,7,16,15,7,13,1,14,12,2,7,15,10,4,1,2,0,1,1,3,2,3,2,0,1,0,1,1,2,2,C
PCP,731,H,13,4,4,7,1,0,11,1,1,6,9,2,7,0,10,0,0,3,3,2,4,2,2,1,2,0,0,4,0,4,3,1,Not_Covered,67,83,90,69,98,92,66,52,53,95,42,84,84,59,81,38,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,5,5,3,10,6,2,3,0,15,16,16,8,2,12,3,3,0,1,0,2,1,2,3,1,2,2,2,0,2,3,C
Other-Speciality,4241,M,3,1,1,1,8,0,6,0,7,0,7,7,8,1,4,8,0,0,2,0,0,2,4,1,2,2,4,4,2,3,1,0,Not_Covered,33,59,50,46,26,23,19,52,13,29,30,23,25,39,30,27,Not_On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18,4,6,4,1,14,6,5,14,17,14,14,12,14,3,3,0,3,1,3,1,1,1,1,3,2,1,3,2,2,C
PCP,1639,H,8,2,4,3,0,2,8,8,11,1,9,8,8,5,3,0,0,3,0,3,1,2,0,3,2,2,2,2,3,0,0,4,Not_Covered,53,70,81,120,92,98,81,68,92,76,39,67,36,41,56,45,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,15,3,13,14,13,8,9,3,6,15,11,0,2,1,1,0,1,1,3,1,1,1,1,3,0,1,1,1,1,C
PCP,274,H,10,14,12,14,1,5,7,9,1,10,4,14,10,6,5,13,0,1,2,4,3,0,4,3,2,2,0,2,2,3,0,3,Not_Covered,94,46,34,115,66,48,57,47,45,71,84,51,86,116,68,68,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,13,16,4,10,16,7,7,9,3,7,1,11,8,11,2,3,0,3,2,2,1,0,1,3,3,0,2,3,1,1,C
Other-Speciality,6830,L,0,1,1,0,2,3,1,2,1,3,0,1,0,2,2,3,1,0,1,2,1,0,1,1,2,0,0,0,0,2,2,1,Not_Covered,5,18,8,1,12,14,4,5,8,8,9,15,15,11,1,17,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,1,14,6,5,1,9,11,0,8,6,1,2,11,11,0,2,2,3,1,2,2,2,2,1,3,1,0,0,0,0,C
REMS,2597241,L,2,0,0,2,3,0,0,0,2,1,4,1,0,3,1,0,1,2,0,1,1,2,0,0,2,0,0,1,2,1,2,1,Not_Covered,12,16,7,18,6,18,2,16,1,15,6,10,6,1,19,7,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,16,5,13,15,15,0,18,10,6,3,6,7,1,3,3,1,3,0,0,1,0,2,1,0,0,1,3,0,0,C
Other-Speciality,3164,M,7,8,3,1,3,4,4,2,8,5,0,2,0,4,7,2,1,3,4,0,2,0,1,0,2,0,3,1,4,4,3,1,Not_Covered,26,13,16,23,41,45,54,41,39,24,46,45,33,50,24,26,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,18,13,0,1,7,15,15,17,2,17,3,5,7,3,3,0,3,0,0,2,2,2,3,1,0,2,0,3,1,C
NON-PCP,57930,L,1,3,0,1,4,0,0,3,0,2,2,3,1,4,1,3,1,1,1,1,1,2,0,2,2,0,0,0,2,1,0,2,Not_Covered,4,18,12,1,2,19,18,20,3,9,12,4,12,13,18,5,Other,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,1,14,13,15,10,3,11,7,8,7,10,3,16,1,2,0,1,0,1,0,3,0,3,3,0,3,1,1,1,C
REMS,1419893,L,4,1,4,4,3,0,0,0,1,0,0,4,1,3,2,1,1,0,0,0,0,1,2,0,2,0,1,1,0,2,2,2,Not_Covered,3,10,7,4,16,7,19,9,1,8,9,20,9,18,5,12,Other,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,12,1,6,1,15,7,3,13,6,14,10,3,9,2,0,3,2,0,2,1,2,3,0,0,0,3,0,2,2,C
REMS,1449437,L,0,2,2,3,3,2,0,1,1,1,1,1,1,3,4,4,1,2,0,0,2,1,2,2,2,2,1,1,0,2,2,2,Not_Covered,18,15,6,12,16,15,3,20,16,7,18,20,8,18,15,9,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,9,8,8,4,16,4,17,5,10,8,6,9,14,15,3,1,1,1,3,3,1,1,1,2,2,1,1,2,1,2,C
REMS,1929,M,3,1,2,2,2,0,3,1,5,1,3,2,1,1,1,5,1,1,0,3,2,1,0,1,2,4,4,2,4,3,4,2,Not_Covered,52,29,42,24,13,31,20,15,40,44,33,43,22,15,11,28,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5,9,18,8,15,13,0,5,10,18,17,15,18,11,1,1,0,1,1,0,2,1,2,3,2,0,2,3,1,2,C
Other-Speciality,6660,L,1,4,2,3,1,2,1,0,0,2,0,0,2,2,2,2,1,1,0,2,2,1,1,1,2,2,0,2,2,1,1,0,Not_Covered,8,20,17,6,2,1,4,5,3,9,8,12,13,13,13,4,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,9,0,3,13,0,13,5,3,15,1,5,9,0,3,2,1,1,0,1,0,0,3,0,1,2,0,2,0,0,0,C
PCP,5476074,L,2,4,0,1,3,4,0,4,0,3,4,3,2,1,3,0,1,1,2,0,1,1,1,2,2,1,2,0,1,2,1,2,Not_Covered,3,3,17,13,5,18,11,17,5,12,20,18,3,11,7,12,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,2,4,17,7,14,14,6,4,14,16,2,13,17,7,0,3,0,2,2,0,2,3,0,3,0,2,3,1,3,2,C
PCP,114704,L,0,1,2,2,4,3,2,4,1,0,1,2,2,0,4,4,1,0,2,1,0,2,0,2,2,0,0,1,2,0,0,1,Not_Covered,2,4,4,9,14,8,9,5,14,16,4,17,16,12,17,3,On_Formulary,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,10,0,6,15,3,14,1,0,18,2,12,3,5,2,0,1,0,2,0,1,1,3,0,3,0,3,1,1,3,C
NON-PCP,51961,L,3,4,4,2,0,3,4,3,2,4,2,3,2,0,0,0,1,2,1,1,0,1,2,2,2,2,0,0,1,1,1,1,Not_Covered,11,16,20,10,1,0,19,12,6,5,8,19,10,19,12,3,Other,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,14,2,11,3,15,4,8,12,7,7,14,16,9,1,1,2,3,0,2,3,1,1,1,3,0,1,1,1,0,C
PCP,4243886,L,3,2,2,1,1,2,2,1,2,0,1,3,2,1,2,1,1,2,0,1,2,0,2,1,2,0,1,0,1,2,0,0,Not_Covered,16,2,13,11,16,2,3,1,9,1,9,20,17,14,5,16,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,7,17,10,10,16,18,4,13,3,12,18,18,1,0,2,2,0,3,3,3,1,1,2,1,3,1,3,2,1,C
Other-Speciality,2612,M,1,8,1,0,4,0,0,7,0,1,4,2,3,6,8,2,1,1,0,3,3,0,1,1,2,0,3,1,4,1,0,4,Not_Covered,36,30,44,17,25,32,51,47,38,14,20,60,59,24,16,56,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,11,9,18,10,12,0,12,15,11,5,10,4,0,1,2,0,2,2,0,0,0,2,0,0,2,3,1,3,1,3,C
PCP,30230529,L,3,0,2,2,4,2,2,1,2,1,1,2,3,2,0,2,1,0,0,0,1,0,1,2,2,2,0,0,1,0,2,0,Not_Covered,16,13,10,18,1,9,6,13,11,16,17,19,20,4,20,2,Other,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,5,10,2,15,0,10,17,18,14,6,3,3,5,1,2,2,3,0,0,2,0,3,2,1,1,3,2,0,1,C
NON-PCP,57254,L,4,1,1,3,0,2,4,0,0,3,0,4,4,0,4,3,1,2,0,0,1,1,0,2,2,1,1,1,0,1,2,1,Not_Covered,0,5,18,14,0,18,13,11,10,10,1,7,8,18,11,4,Other,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,15,1,5,2,0,10,17,13,14,12,1,18,2,11,3,0,0,1,2,2,3,2,0,2,0,2,0,0,2,0,C
NON-PCP,92093,L,0,0,0,1,4,2,4,3,4,2,1,2,4,3,3,0,1,1,1,0,0,0,0,2,2,2,1,0,1,0,1,2,Not_Covered,13,1,17,6,17,12,11,8,8,18,17,8,10,3,8,4,Other,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,15,0,1,5,7,5,10,11,5,3,14,7,16,9,2,2,0,0,1,1,1,0,0,2,2,2,2,0,3,1,C
REMS,215,H,11,6,11,5,4,5,7,6,12,9,3,8,11,7,6,14,1,4,4,4,2,3,2,0,2,2,1,2,4,3,3,1,Not_Covered,107,36,72,42,57,63,107,99,63,35,78,114,70,78,110,83,Not_On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,8,0,4,17,13,11,11,13,14,7,0,18,8,11,1,3,2,2,1,0,3,0,1,0,3,1,0,0,2,2,C
Other-Speciality,7126,L,1,2,1,2,4,0,2,1,0,4,1,4,0,1,4,2,2,2,2,0,1,2,1,0,2,2,0,0,1,0,0,2,Not_Covered,15,19,15,20,5,19,4,20,12,4,11,11,20,10,20,8,Other,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,18,13,0,16,15,2,15,8,15,14,6,1,11,1,3,1,3,3,0,1,0,0,2,0,3,1,3,2,1,C
NON-PCP,1298454,L,3,0,0,2,0,2,2,4,2,2,0,1,0,3,1,2,2,0,0,2,0,2,2,0,2,1,0,0,1,1,1,1,Not_Covered,11,10,12,9,0,19,19,10,12,2,20,2,14,16,19,9,Other,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,15,10,2,3,16,9,17,4,15,0,17,9,13,3,0,1,0,3,1,2,0,0,2,3,3,2,3,3,1,C
PCP,27439810,L,3,2,3,3,0,1,1,3,2,4,0,2,0,3,2,2,2,0,1,0,2,0,2,0,2,2,2,0,0,1,0,0,Not_Covered,16,17,4,2,6,1,13,4,8,17,19,9,4,2,7,2,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,17,9,16,18,0,6,9,10,8,18,16,4,8,3,0,2,1,0,3,2,2,2,2,1,2,2,2,1,0,3,C
Other-Speciality,6628,L,1,4,4,2,1,2,3,3,1,4,3,1,1,4,3,3,2,2,1,2,0,1,1,0,2,0,2,2,1,1,2,0,Not_Covered,17,12,6,11,7,2,14,16,14,2,14,16,5,14,17,16,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,14,2,10,16,8,15,14,13,6,10,0,15,7,2,2,3,2,1,0,2,1,3,0,3,0,0,3,2,3,1,C
Other-Speciality,6203,L,1,2,3,0,0,0,3,3,4,1,2,4,1,1,4,4,2,1,1,2,2,1,1,2,2,0,0,1,0,2,1,0,Not_Covered,0,13,13,18,5,16,0,15,17,20,8,2,7,0,16,16,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,9,8,5,0,10,16,4,4,15,6,18,17,15,11,3,2,1,0,3,2,0,2,3,0,2,0,0,1,3,3,C
Other-Speciality,6640,L,2,3,0,3,3,4,1,3,3,4,1,3,2,3,1,3,2,2,0,0,0,1,2,2,2,1,2,2,2,2,0,2,Not_Covered,19,2,7,2,2,15,0,12,15,5,15,0,8,10,0,20,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,7,11,7,8,3,6,13,16,9,16,5,8,10,9,3,2,1,0,1,2,3,1,0,2,1,1,0,3,3,1,C
Other-Speciality,2813,M,6,8,0,8,7,7,0,6,0,8,0,6,3,3,6,2,2,1,1,2,2,1,3,3,2,2,4,2,2,3,1,2,Not_Covered,32,51,29,36,10,27,34,46,50,58,20,47,17,20,54,47,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,1,16,8,3,13,5,5,18,16,9,18,14,14,15,2,2,1,0,2,1,3,1,1,2,1,2,0,3,0,2,C
PCP,4458223,L,4,0,4,3,0,1,3,1,0,0,0,2,3,4,2,2,2,2,0,1,0,2,2,1,2,0,1,1,1,1,1,0,Not_Covered,19,10,3,11,8,14,11,5,20,7,4,17,16,6,20,15,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,7,4,4,10,17,15,17,2,12,2,3,14,17,3,0,3,0,1,1,3,3,3,0,1,2,1,2,1,1,C
PCP,5249010,L,0,4,1,4,2,4,3,4,1,4,4,1,3,3,4,0,2,1,2,0,0,2,2,0,2,0,1,1,2,2,1,0,Not_Covered,6,10,0,0,4,16,14,9,18,15,9,19,2,14,2,8,Other,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,1,4,3,14,7,10,7,9,13,7,16,8,4,11,0,3,2,0,1,0,2,0,2,2,1,0,1,1,2,2,C
REMS,2694895,L,3,4,3,3,2,2,1,1,3,2,1,4,3,3,1,3,2,0,2,0,1,2,2,1,2,2,0,0,2,2,1,1,Not_Covered,19,7,10,20,2,18,19,19,7,18,13,1,13,3,20,20,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,3,10,4,1,2,8,9,13,5,4,0,4,3,11,1,3,1,0,2,0,2,3,3,0,1,2,0,3,1,3,C
REMS,2826882,L,3,4,4,2,1,4,1,0,4,4,3,1,3,3,4,1,2,0,1,1,1,1,1,1,2,2,0,0,0,2,1,1,Not_Covered,6,3,17,17,11,8,14,4,9,8,4,18,12,2,7,18,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,15,7,15,11,4,12,18,14,4,11,11,13,9,15,3,3,3,3,3,1,1,1,1,3,1,1,0,0,2,2,C
Other-Speciality,7072,L,2,1,0,0,1,4,1,2,1,0,2,1,4,4,3,3,2,2,0,0,2,2,1,2,2,1,1,1,2,2,1,2,Not_Covered,11,19,7,10,17,5,1,14,12,6,1,16,7,18,12,19,On_Formulary,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,3,12,17,7,10,2,4,17,12,8,10,11,16,18,1,0,3,1,2,0,2,1,1,0,0,2,1,0,2,0,C
PCP,35889928,L,2,2,1,0,2,0,4,2,4,4,0,4,4,2,1,3,2,2,0,0,0,1,2,0,2,2,0,2,0,0,1,1,Not_Covered,12,15,19,6,13,11,1,9,14,6,7,12,18,0,10,19,Other,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,4,6,8,1,15,4,10,16,6,16,9,17,16,2,2,1,2,2,0,1,3,1,2,2,1,2,1,1,2,C
Other-Speciality,2459,M,0,6,4,3,2,5,6,0,8,5,0,2,6,5,0,8,2,0,1,2,0,3,3,0,2,1,2,1,3,1,3,0,Not_Covered,10,11,50,55,24,40,51,44,40,60,11,29,27,59,27,40,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,2,4,8,3,3,6,17,11,12,16,8,13,4,7,3,3,2,1,3,2,1,1,3,3,1,3,3,3,0,0,C
PCP,575,H,12,14,0,2,1,12,11,7,3,10,6,1,7,8,0,1,2,3,2,2,1,2,2,1,2,1,4,3,0,0,3,4,Not_Covered,114,91,94,66,90,30,95,54,89,118,37,109,105,84,89,110,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,15,11,9,6,10,13,17,17,5,15,11,8,15,4,0,1,1,3,0,3,1,0,3,1,3,3,1,2,1,3,C
Other-Speciality,5072,M,1,0,2,3,7,7,8,0,7,6,4,3,8,7,4,4,2,1,0,2,1,1,2,0,2,3,3,3,0,3,3,0,Not_Covered,27,13,29,55,59,54,45,16,52,21,28,27,45,52,19,49,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,14,16,1,12,7,1,6,0,9,14,0,1,0,3,3,1,1,2,1,1,1,0,0,3,0,2,3,0,2,C
